product_id,product_name,product_category,product_price,scrapy_datetime,style_id,color_id,color_name,fit,size_number,size_model,cotton,spandex,Elastomultiester
1130309005,baggy_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,1130309,5,denim_black,loose_fit,187,31/32,1.0,0.0,0.0
1130309005,baggy_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,1130309,5,dark_denim_gray,loose_fit,187,31/32,1.0,0.0,0.0
1130309005,baggy_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,1130309,5,light_denim_blue,loose_fit,187,31/32,1.0,0.0,0.0
1130309005,baggy_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,1130309,5,dark_denim_blue,loose_fit,187,31/32,1.0,0.0,0.0
985159001,skinny_jeans,men_jeans_skinny,29.99,2023-10-04 14:36:16,985159,1,black,skinny_fit,180,33/32,0.99,0.0,0.0
985159001,skinny_jeans,men_jeans_skinny,29.99,2023-10-04 14:36:16,985159,1,dark_gray,skinny_fit,180,33/32,0.99,0.0,0.0
985159001,skinny_jeans,men_jeans_skinny,29.99,2023-10-04 14:36:16,985159,1,light_denim_blue,skinny_fit,180,33/32,0.99,0.0,0.0
985159001,skinny_jeans,men_jeans_skinny,29.99,2023-10-04 14:36:16,985159,1,dark_blue,skinny_fit,180,33/32,0.99,0.0,0.0
985159001,skinny_jeans,men_jeans_skinny,29.99,2023-10-04 14:36:16,985159,1,dark_denim_blue,skinny_fit,180,33/32,0.99,0.0,0.0
985159001,skinny_jeans,men_jeans_skinny,29.99,2023-10-04 14:36:16,985159,1,denim_blue,skinny_fit,180,33/32,0.99,0.0,0.0
1130309004,baggy_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,1130309,4,denim_black,loose_fit,187,31/32,1.0,0.0,0.0
1130309004,baggy_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,1130309,4,dark_denim_gray,loose_fit,187,31/32,1.0,0.0,0.0
1130309004,baggy_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,1130309,4,light_denim_blue,loose_fit,187,31/32,1.0,0.0,0.0
1130309004,baggy_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,1130309,4,dark_denim_blue,loose_fit,187,31/32,1.0,0.0,0.0
1008549001,straight_regular_jeans,men_jeans_regular,29.99,2023-10-04 14:36:16,1008549,1,vintage_black,regular_fit,185,31/32,0.99,0.0,0.0
1008549001,straight_regular_jeans,men_jeans_regular,29.99,2023-10-04 14:36:16,1008549,1,denim_blue,regular_fit,186,31/32,0.98,0.0,0.0
1008549001,straight_regular_jeans,men_jeans_regular,29.99,2023-10-04 14:36:16,1008549,1,dark_gray,regular_fit,186,31/32,0.98,0.0,0.0
1008549001,straight_regular_jeans,men_jeans_regular,29.99,2023-10-04 14:36:16,1008549,1,dark_blue,regular_fit,186,31/32,0.98,0.0,0.0
1008549001,straight_regular_jeans,men_jeans_regular,29.99,2023-10-04 14:36:16,1008549,1,dark_denim_blue,regular_fit,186,31/32,0.98,0.0,0.0
1008549001,straight_regular_jeans,men_jeans_regular,29.99,2023-10-04 14:36:16,1008549,1,black,regular_fit,186,31/32,0.98,0.0,0.0
1008549001,straight_regular_jeans,men_jeans_regular,29.99,2023-10-04 14:36:16,1008549,1,light_gray,regular_fit,186,31/32,0.98,0.0,0.0
1008549001,straight_regular_jeans,men_jeans_regular,29.99,2023-10-04 14:36:16,1008549,1,light_denim_blue,regular_fit,186,31/32,0.98,0.0,0.0
979945001,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,1,denim_gray,loose_fit,,,1.0,0.0,0.0
979945001,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,1,light_denim_blue,loose_fit,187,31/32,1.0,0.0,0.0
979945001,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,1,light_gray,loose_fit,187,31/32,1.0,0.0,0.0
979945001,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,1,gray,loose_fit,187,31/32,1.0,0.0,0.0
979945001,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,1,black_patterned,loose_fit,187,31/32,1.0,0.0,0.0
979945001,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,1,light_purple,loose_fit,187,31/32,1.0,0.0,0.0
979945001,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,1,olive_green,loose_fit,187,31/32,1.0,0.0,0.0
979945001,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,1,purple,loose_fit,187,31/32,1.0,0.0,0.0
979945001,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,1,pale_denim_blue,loose_fit,187,31/32,1.0,0.0,0.0
979945001,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,1,light_denim_gray,loose_fit,187,31/32,1.0,0.0,0.0
979945001,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,1,white,loose_fit,187,31/32,1.0,0.0,0.0
979945001,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,1,black,loose_fit,187,31/32,1.0,0.0,0.0
979945001,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,1,brown,loose_fit,187,31/32,1.0,0.0,0.0
979945001,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,1,denim_blue,loose_fit,187,31/32,1.0,0.0,0.0
1182102002,baggy_fit_cargo_pants,men_jeans_loose,49.99,2023-10-04 14:36:16,1182102,2,denim_blue,loose_fit,186,32/32,1.0,0.0,0.0
1182102002,baggy_fit_cargo_pants,men_jeans_loose,49.99,2023-10-04 14:36:16,1182102,2,black,loose_fit,,,1.0,0.0,0.0
1024256001,slim_jeans,men_jeans_slim,24.99,2023-10-04 14:36:16,1024256,1,dark_blue,slim_fit,,,0.99,0.0,0.0
1024256001,slim_jeans,men_jeans_slim,24.99,2023-10-04 14:36:16,1024256,1,black,slim_fit,,,0.99,0.0,0.0
1024256001,slim_jeans,men_jeans_slim,24.99,2023-10-04 14:36:16,1024256,1,denim_blue,slim_fit,,,0.99,0.0,0.0
1024256001,slim_jeans,men_jeans_slim,24.99,2023-10-04 14:36:16,1024256,1,dark_denim_blue,slim_fit,,,0.99,0.0,0.0
1024256001,slim_jeans,men_jeans_slim,24.99,2023-10-04 14:36:16,1024256,1,dark_gray,slim_fit,,,0.99,0.0,0.0
1024256001,slim_jeans,men_jeans_slim,24.99,2023-10-04 14:36:16,1024256,1,white,slim_fit,,,0.99,0.0,0.0
1024256001,slim_jeans,men_jeans_slim,24.99,2023-10-04 14:36:16,1024256,1,light_denim_blue,slim_fit,,,0.99,0.0,0.0
979945003,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,3,denim_gray,loose_fit,,,1.0,0.0,0.0
979945003,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,3,light_denim_blue,loose_fit,187,31/32,1.0,0.0,0.0
979945003,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,3,light_gray,loose_fit,187,31/32,1.0,0.0,0.0
979945003,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,3,gray,loose_fit,187,31/32,1.0,0.0,0.0
979945003,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,3,black_patterned,loose_fit,187,31/32,1.0,0.0,0.0
979945003,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,3,light_purple,loose_fit,187,31/32,1.0,0.0,0.0
979945003,loose_jeans,men_jeans_loose,39.99,2023-10-04 14:36:16,979945,3,olive_green,loose_fit,187,31/32,1.0,0.0,0.0
